,device_id,date_hour,bytes_up,bytes_down,log_bytes_up,log_bytes_down,date_hour_filtered,q4_device,q4_stat,q4_field,q4_stat_down_value,q4_stat_up_value
1921070,91928921.0,2021-09-29 21:03:00,114602.16470588234,1998610.4615384613,5.05919661060977,6.300728373652542,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
1921071,91928921.0,2021-09-29 21:30:00,0.0,0.0,0.0,0.0,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
2093764,97478729.0,2021-09-29 21:00:00,71547.67883211678,2324862.01459854,4.854601618791549,6.366397368513451,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
2093765,97478729.0,2021-09-29 21:03:00,58000.0,1814408.1230769232,4.763435481334283,6.258735220905496,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
2093766,97478729.0,2021-09-29 21:06:00,34737.41935483871,846884.9032258064,4.540810053573121,5.927824903911336,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
2093767,97478729.0,2021-09-29 21:10:00,105708.52682926827,2897316.9170731707,5.024114128867848,6.461996152109267,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
2093768,97478729.0,2021-09-29 21:11:00,71233.49333333332,2101135.893333333,4.852690339660089,6.322454348494731,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
2093769,97478729.0,2021-09-29 21:13:00,18519.043478260868,476068.5217391304,4.267642001911067,5.677670378567116,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
2093770,97478729.0,2021-09-29 21:19:00,48477.22175732218,1127670.6324786325,4.685546680977817,6.0521826555306175,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
2093771,97478729.0,2021-09-29 21:21:00,33417.074626865666,1027589.0909090908,4.523981424521601,6.011819907696049,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
2093772,97478729.0,2021-09-29 21:22:00,47337.50495049505,1291763.0588235294,4.6752145378769026,6.1111831968569525,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
2093773,97478729.0,2021-09-29 21:24:00,40464.93203883495,1192347.0291262136,4.607089547809291,6.0764030381794525,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
2093774,97478729.0,2021-09-29 21:26:00,26718.857142857138,747197.1428571428,4.426834131863587,5.87343578379498,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
2093775,97478729.0,2021-09-29 21:28:00,92438.27027027028,2159783.8476190474,4.9658565084335775,6.334410489972336,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
2093776,97478729.0,2021-09-29 21:30:00,189818.2,5711311.435294118,5.278340138714697,6.756735918738176,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
2093777,97478729.0,2021-09-29 21:32:00,144586.02597402598,4576211.819354839,5.160129324765707,6.660506213364131,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
2093778,97478729.0,2021-09-29 21:35:00,148775.89115646257,4650681.479452055,5.172535479444956,6.667516689515997,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
2093779,97478729.0,2021-09-29 21:36:00,148079.6,4557757.508196721,5.170498165443397,6.658751310459095,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
2093780,97478729.0,2021-09-29 21:37:00,141372.9,4361236.556962025,5.150369238794423,6.639609743373235,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
2093781,97478729.0,2021-09-29 21:39:00,79898.06060606062,4441947.0,4.902541673231356,6.647573470141036,2021-09-29 21:00:00,Smart-TV,mean,log_bytes_down,4.172650262166022,3.691493858378769
